ID,EstimationDate,description,Export,Import
73,2021-02-27 14:20:00.000,SC1455334/TR1,109824.6184,72114.59877
74,2021-02-27 14:20:00.000,SC1456856/TR1,164736.9276,108171.8982
75,2021-02-27 14:20:00.000,SC1487994/TR1,109824.6184,72114.59877
76,2021-02-27 14:20:00.000,SC2043368/TR1,69189.50957,45432.19722
77,2021-02-27 14:20:00.000,SC2121069/TR1,219649.2367,144229.1975
78,2021-02-27 14:20:00.000,SC2121070/TR1,219649.2367,144229.1975
79,2021-02-27 14:20:00.000,SC2198084/TR1,109824.6184,72114.59877
80,2021-02-27 14:20:00.000,SC741317/TR1,219649.2367,144229.1975
81,2021-02-27 14:20:00.000,SC767475-A/TR1,109824.6184,72114.59877
82,2021-02-27 14:20:00.000,SC775587/TR1,69189.50957,45432.19722
83,2021-02-27 14:20:00.000,SC776182/TR1,164736.9276,108171.8982
84,2021-02-27 14:20:00.000,SC780577/TR1,109824.6184,72114.59877
85,2021-02-27 14:20:00.000,SC791767/TR1,109824.6184,72114.59877
86,2021-02-27 14:20:00.000,SC804559/TR1,109824.6184,72114.59877
87,2021-02-27 14:20:00.000,SC807124/TR1,219649.2367,144229.1975
88,2021-02-27 14:20:00.000,SC842583/TR1,109824.6184,72114.59877
89,2021-02-27 14:20:00.000,SC858902/TR1,219649.2367,144229.1975
90,2021-02-27 14:20:00.000,SC865967/TR1,164736.9276,108171.8982
91,2021-02-27 14:20:00.000,SP15906-B/TR1,43929.84735,28845.83951
92,2021-02-27 14:20:00.000,SP472455/TR1,69189.50957,45432.19722
93,2021-02-27 14:20:00.000,SP98701/TR1,109824.6184,72114.59877
94,2021-02-27 14:30:00.000,SC1367081/TR1,111120.1046,74431.28597
95,2021-02-27 14:30:00.000,SC1367401/TR1,111120.1046,74431.28597
96,2021-02-27 14:30:00.000,SC1404931/TR1,222240.2093,148862.5719
97,2021-02-27 14:30:00.000,SC1424427/TR1,70005.66592,46891.71016
98,2021-02-27 14:30:00.000,SC1426808/TR1,111120.1046,74431.28597
99,2021-02-27 14:30:00.000,SC1426883/TR1,111120.1046,74431.28597
100,2021-02-27 14:30:00.000,SC1427057/TR1,70005.66592,46891.71016
101,2021-02-27 14:30:00.000,SC1454371/TR1,70005.66592,46891.71016
102,2021-02-27 14:30:00.000,SC1455332/TR1,111120.1046,74431.28597
103,2021-02-27 14:30:00.000,SC1455333/TR1,166680.157,111646.929
104,2021-02-27 14:30:00.000,SC1455334/TR1,111120.1046,74431.28597
105,2021-02-27 14:30:00.000,SC1456856/TR1,166680.157,111646.929
106,2021-02-27 14:30:00.000,SC1487994/TR1,111120.1046,74431.28597
107,2021-02-27 14:30:00.000,SC2043368/TR1,70005.66592,46891.71016
108,2021-02-27 14:30:00.000,SC2121069/TR1,222240.2093,148862.5719
109,2021-02-27 14:30:00.000,SC2121070/TR1,222240.2093,148862.5719
110,2021-02-27 14:30:00.000,SC2198084/TR1,111120.1046,74431.28597
111,2021-02-27 14:30:00.000,SC741317/TR1,222240.2093,148862.5719
112,2021-02-27 14:30:00.000,SC767475-A/TR1,111120.1046,74431.28597
113,2021-02-27 14:30:00.000,SC775587/TR1,70005.66592,46891.71016
114,2021-02-27 14:30:00.000,SC776182/TR1,166680.157,111646.929
115,2021-02-27 14:30:00.000,SC780577/TR1,111120.1046,74431.28597
116,2021-02-27 14:30:00.000,SC791767/TR1,111120.1046,74431.28597
117,2021-02-27 14:30:00.000,SC804559/TR1,111120.1046,74431.28597
118,2021-02-27 14:30:00.000,SC807124/TR1,222240.2093,148862.5719
119,2021-02-27 14:30:00.000,SC842583/TR1,111120.1046,74431.28597
120,2021-02-27 14:30:00.000,SC858902/TR1,222240.2093,148862.5719
121,2021-02-27 14:30:00.000,SC865967/TR1,166680.157,111646.929
122,2021-02-27 14:30:00.000,SP15906-B/TR1,44448.04186,29772.51439
123,2021-02-27 14:30:00.000,SP472455/TR1,70005.66592,46891.71016
124,2021-02-27 14:30:00.000,SP98701/TR1,111120.1046,74431.28597
125,2021-02-27 14:40:00.000,SC1367081/TR1,107537.6221,77479.14574
126,2021-02-27 14:40:00.000,SC1367401/TR1,107537.6221,77479.14574
127,2021-02-27 14:40:00.000,SC1404931/TR1,215075.2442,154958.2915
128,2021-02-27 14:40:00.000,SC1424427/TR1,67748.70191,48811.86181
129,2021-02-27 14:40:00.000,SC1426808/TR1,107537.6221,77479.14574
130,2021-02-27 14:40:00.000,SC1426883/TR1,107537.6221,77479.14574
131,2021-02-27 14:40:00.000,SC1427057/TR1,67748.70191,48811.86181
132,2021-02-27 14:40:00.000,SC1454371/TR1,67748.70191,48811.86181
133,2021-02-27 14:40:00.000,SC1455332/TR1,107537.6221,77479.14574
134,2021-02-27 14:40:00.000,SC1455333/TR1,161306.4331,116218.7186
135,2021-02-27 14:40:00.000,SC1455334/TR1,107537.6221,77479.14574
136,2021-02-27 14:40:00.000,SC1456856/TR1,161306.4331,116218.7186
137,2021-02-27 14:40:00.000,SC1487994/TR1,107537.6221,77479.14574
138,2021-02-27 14:40:00.000,SC2043368/TR1,67748.70191,48811.86181
139,2021-02-27 14:40:00.000,SC2121069/TR1,215075.2442,154958.2915
140,2021-02-27 14:40:00.000,SC2121070/TR1,215075.2442,154958.2915
141,2021-02-27 14:40:00.000,SC2198084/TR1,107537.6221,77479.14574
142,2021-02-27 14:40:00.000,SC741317/TR1,215075.2442,154958.2915
143,2021-02-27 14:40:00.000,SC767475-A/TR1,107537.6221,77479.14574
144,2021-02-27 14:40:00.000,SC775587/TR1,67748.70191,48811.86181
145,2021-02-27 14:40:00.000,SC776182/TR1,161306.4331,116218.7186
146,2021-02-27 14:40:00.000,SC780577/TR1,107537.6221,77479.14574
147,2021-02-27 14:40:00.000,SC791767/TR1,107537.6221,77479.14574
148,2021-02-27 14:40:00.000,SC804559/TR1,107537.6221,77479.14574
149,2021-02-27 14:40:00.000,SC807124/TR1,215075.2442,154958.2915
150,2021-02-27 14:40:00.000,SC842583/TR1,107537.6221,77479.14574
151,2021-02-27 14:40:00.000,SC858902/TR1,215075.2442,154958.2915
152,2021-02-27 14:40:00.000,SC865967/TR1,161306.4331,116218.7186
153,2021-02-27 14:40:00.000,SP15906-B/TR1,43015.04883,30991.65829
154,2021-02-27 14:40:00.000,SP472455/TR1,67748.70191,48811.86181
155,2021-02-27 14:40:00.000,SP98701/TR1,107537.6221,77479.14574
156,2021-02-27 14:50:00.000,SC1367081/TR1,106524.5539,77965.31789
157,2021-02-27 14:50:00.000,SC1367401/TR1,106524.5539,77965.31789
158,2021-02-27 14:50:00.000,SC1404931/TR1,213049.1079,155930.6358
159,2021-02-27 14:50:00.000,SC1424427/TR1,67110.46898,49118.15027
160,2021-02-27 14:50:00.000,SC1426808/TR1,106524.5539,77965.31789
161,2021-02-27 14:50:00.000,SC1426883/TR1,106524.5539,77965.31789
162,2021-02-27 14:50:00.000,SC1427057/TR1,67110.46898,49118.15027
163,2021-02-27 14:50:00.000,SC1454371/TR1,67110.46898,49118.15027
164,2021-02-27 14:50:00.000,SC1455332/TR1,106524.5539,77965.31789
165,2021-02-27 14:50:00.000,SC1455333/TR1,159786.8309,116947.9768
166,2021-02-27 14:50:00.000,SC1455334/TR1,106524.5539,77965.31789
167,2021-02-27 14:50:00.000,SC1456856/TR1,159786.8309,116947.9768
168,2021-02-27 14:50:00.000,SC1487994/TR1,106524.5539,77965.31789
169,2021-02-27 14:50:00.000,SC2043368/TR1,67110.46898,49118.15027
170,2021-02-27 14:50:00.000,SC2121069/TR1,213049.1079,155930.6358
171,2021-02-27 14:50:00.000,SC2121070/TR1,213049.1079,155930.6358
172,2021-02-27 14:50:00.000,SC2198084/TR1,106524.5539,77965.31789
173,2021-02-27 14:50:00.000,SC741317/TR1,213049.1079,155930.6358
174,2021-02-27 14:50:00.000,SC767475-A/TR1,106524.5539,77965.31789
175,2021-02-27 14:50:00.000,SC775587/TR1,67110.46898,49118.15027
176,2021-02-27 14:50:00.000,SC776182/TR1,159786.8309,116947.9768
177,2021-02-27 14:50:00.000,SC780577/TR1,106524.5539,77965.31789
178,2021-02-27 14:50:00.000,SC791767/TR1,106524.5539,77965.31789
179,2021-02-27 14:50:00.000,SC804559/TR1,106524.5539,77965.31789
180,2021-02-27 14:50:00.000,SC807124/TR1,213049.1079,155930.6358
181,2021-02-27 14:50:00.000,SC842583/TR1,106524.5539,77965.31789
182,2021-02-27 14:50:00.000,SC858902/TR1,213049.1079,155930.6358
183,2021-02-27 14:50:00.000,SC865967/TR1,159786.8309,116947.9768
184,2021-02-27 14:50:00.000,SP15906-B/TR1,42609.82158,31186.12716
185,2021-02-27 14:50:00.000,SP472455/TR1,67110.46898,49118.15027
186,2021-02-27 14:50:00.000,SP98701/TR1,106524.5539,77965.31789
187,2021-02-27 15:00:00.000,SC1367081/TR1,111738.3824,71823.33661
188,2021-02-27 15:00:00.000,SC1367401/TR1,111738.3824,71823.33661
189,2021-02-27 15:00:00.000,SC1404931/TR1,223476.7649,143646.6732
190,2021-02-27 15:00:00.000,SC1424427/TR1,70395.18093,45248.70206
191,2021-02-27 15:00:00.000,SC1426808/TR1,111738.3824,71823.33661
192,2021-02-27 15:00:00.000,SC1426883/TR1,111738.3824,71823.33661
193,2021-02-27 15:00:00.000,SC1427057/TR1,70395.18093,45248.70206
194,2021-02-27 15:00:00.000,SC1454371/TR1,70395.18093,45248.70206
195,2021-02-27 15:00:00.000,SC1455332/TR1,111738.3824,71823.33661
196,2021-02-27 15:00:00.000,SC1455333/TR1,167607.5737,107735.0049
197,2021-02-27 15:00:00.000,SC1455334/TR1,111738.3824,71823.33661
198,2021-02-27 15:00:00.000,SC1456856/TR1,167607.5737,107735.0049
199,2021-02-27 15:00:00.000,SC1487994/TR1,111738.3824,71823.33661
200,2021-02-27 15:00:00.000,SC2043368/TR1,70395.18093,45248.70206
201,2021-02-27 15:00:00.000,SC2121069/TR1,223476.7649,143646.6732
202,2021-02-27 15:00:00.000,SC2121070/TR1,223476.7649,143646.6732
203,2021-02-27 15:00:00.000,SC2198084/TR1,111738.3824,71823.33661
204,2021-02-27 15:00:00.000,SC741317/TR1,223476.7649,143646.6732
205,2021-02-27 15:00:00.000,SC767475-A/TR1,111738.3824,71823.33661
206,2021-02-27 15:00:00.000,SC775587/TR1,70395.18093,45248.70206
207,2021-02-27 15:00:00.000,SC776182/TR1,167607.5737,107735.0049
208,2021-02-27 15:00:00.000,SC780577/TR1,111738.3824,71823.33661
209,2021-02-27 15:00:00.000,SC791767/TR1,111738.3824,71823.33661
210,2021-02-27 15:00:00.000,SC804559/TR1,111738.3824,71823.33661
211,2021-02-27 15:00:00.000,SC807124/TR1,223476.7649,143646.6732
212,2021-02-27 15:00:00.000,SC842583/TR1,111738.3824,71823.33661
213,2021-02-27 15:00:00.000,SC858902/TR1,223476.7649,143646.6732
214,2021-02-27 15:00:00.000,SC865967/TR1,167607.5737,107735.0049
215,2021-02-27 15:00:00.000,SP15906-B/TR1,44695.35297,28729.33464
216,2021-02-27 15:00:00.000,SP472455/TR1,70395.18093,45248.70206
217,2021-02-27 15:00:00.000,SP98701/TR1,111738.3824,71823.33661
218,2021-02-27 15:10:00.000,SC1367081/TR1,131456.742,39039.51103
219,2021-02-27 15:10:00.000,SC1367401/TR1,131456.742,39039.51103
220,2021-02-27 15:10:00.000,SC1404931/TR1,262913.4841,78079.02207
221,2021-02-27 15:10:00.000,SC1424427/TR1,82817.74748,24594.89195
222,2021-02-27 15:10:00.000,SC1426808/TR1,131456.742,39039.51103
223,2021-02-27 15:10:00.000,SC1426883/TR1,131456.742,39039.51103
224,2021-02-27 15:10:00.000,SC1427057/TR1,82817.74748,24594.89195
225,2021-02-27 15:10:00.000,SC1454371/TR1,82817.74748,24594.89195
226,2021-02-27 15:10:00.000,SC1455332/TR1,131456.742,39039.51103
227,2021-02-27 15:10:00.000,SC1455333/TR1,197185.1131,58559.26655
228,2021-02-27 15:10:00.000,SC1455334/TR1,131456.742,39039.51103
229,2021-02-27 15:10:00.000,SC1456856/TR1,197185.1131,58559.26655
230,2021-02-27 15:10:00.000,SC1487994/TR1,131456.742,39039.51103
231,2021-02-27 15:10:00.000,SC2043368/TR1,82817.74748,24594.89195
232,2021-02-27 15:10:00.000,SC2121069/TR1,262913.4841,78079.02207
233,2021-02-27 15:10:00.000,SC2121070/TR1,262913.4841,78079.02207
234,2021-02-27 15:10:00.000,SC2198084/TR1,131456.742,39039.51103
235,2021-02-27 15:10:00.000,SC741317/TR1,262913.4841,78079.02207
236,2021-02-27 15:10:00.000,SC767475-A/TR1,131456.742,39039.51103
237,2021-02-27 15:10:00.000,SC775587/TR1,82817.74748,24594.89195
238,2021-02-27 15:10:00.000,SC776182/TR1,197185.1131,58559.26655
239,2021-02-27 15:10:00.000,SC780577/TR1,131456.742,39039.51103
240,2021-02-27 15:10:00.000,SC791767/TR1,131456.742,39039.51103
241,2021-02-27 15:10:00.000,SC804559/TR1,131456.742,39039.51103
242,2021-02-27 15:10:00.000,SC807124/TR1,262913.4841,78079.02207
243,2021-02-27 15:10:00.000,SC842583/TR1,131456.742,39039.51103
244,2021-02-27 15:10:00.000,SC858902/TR1,262913.4841,78079.02207
245,2021-02-27 15:10:00.000,SC865967/TR1,197185.1131,58559.26655
246,2021-02-27 15:10:00.000,SP15906-B/TR1,52582.69682,15615.80441
247,2021-02-27 15:10:00.000,SP472455/TR1,82817.74748,24594.89195
248,2021-02-27 15:10:00.000,SP98701/TR1,131456.742,39039.51103
249,2021-02-27 15:20:00.000,SC1367081/TR1,129429.5262,46048.1845
250,2021-02-27 15:20:00.000,SC1367401/TR1,129429.5262,46048.1845
251,2021-02-27 15:20:00.000,SC1404931/TR1,258859.0525,92096.36899
252,2021-02-27 15:20:00.000,SC1424427/TR1,81540.60153,29010.35623
253,2021-02-27 15:20:00.000,SC1426808/TR1,129429.5262,46048.1845
254,2021-02-27 15:20:00.000,SC1426883/TR1,129429.5262,46048.1845
255,2021-02-27 15:20:00.000,SC1427057/TR1,81540.60153,29010.35623
256,2021-02-27 15:20:00.000,SC1454371/TR1,81540.60153,29010.35623
257,2021-02-27 15:20:00.000,SC1455332/TR1,129429.5262,46048.1845
258,2021-02-27 15:20:00.000,SC1455333/TR1,194144.2894,69072.27675
259,2021-02-27 15:20:00.000,SC1455334/TR1,129429.5262,46048.1845
260,2021-02-27 15:20:00.000,SC1456856/TR1,194144.2894,69072.27675
261,2021-02-27 15:20:00.000,SC1487994/TR1,129429.5262,46048.1845
262,2021-02-27 15:20:00.000,SC2043368/TR1,81540.60153,29010.35623
263,2021-02-27 15:20:00.000,SC2121069/TR1,258859.0525,92096.36899
264,2021-02-27 15:20:00.000,SC2121070/TR1,258859.0525,92096.36899
265,2021-02-27 15:20:00.000,SC2198084/TR1,129429.5262,46048.1845
266,2021-02-27 15:20:00.000,SC741317/TR1,258859.0525,92096.36899
267,2021-02-27 15:20:00.000,SC767475-A/TR1,129429.5262,46048.1845
268,2021-02-27 15:20:00.000,SC775587/TR1,81540.60153,29010.35623
269,2021-02-27 15:20:00.000,SC776182/TR1,194144.2894,69072.27675
270,2021-02-27 15:20:00.000,SC780577/TR1,129429.5262,46048.1845
271,2021-02-27 15:20:00.000,SC791767/TR1,129429.5262,46048.1845
272,2021-02-27 15:20:00.000,SC804559/TR1,129429.5262,46048.1845
273,2021-02-27 15:20:00.000,SC807124/TR1,258859.0525,92096.36899
274,2021-02-27 15:20:00.000,SC842583/TR1,129429.5262,46048.1845
275,2021-02-27 15:20:00.000,SC858902/TR1,258859.0525,92096.36899
276,2021-02-27 15:20:00.000,SC865967/TR1,194144.2894,69072.27675
277,2021-02-27 15:20:00.000,SP15906-B/TR1,51771.8105,18419.2738
278,2021-02-27 15:20:00.000,SP472455/TR1,81540.60153,29010.35623
279,2021-02-27 15:20:00.000,SP98701/TR1,129429.5262,46048.1845
280,2021-02-27 15:30:00.000,SC1367081/TR1,127627.2557,50136.74626
281,2021-02-27 15:30:00.000,SC1367401/TR1,127627.2557,50136.74626
282,2021-02-27 15:30:00.000,SC1404931/TR1,255254.5114,100273.4925
283,2021-02-27 15:30:00.000,SC1424427/TR1,80405.17108,31586.15014
284,2021-02-27 15:30:00.000,SC1426808/TR1,127627.2557,50136.74626
285,2021-02-27 15:30:00.000,SC1426883/TR1,127627.2557,50136.74626
286,2021-02-27 15:30:00.000,SC1427057/TR1,80405.17108,31586.15014
287,2021-02-27 15:30:00.000,SC1454371/TR1,80405.17108,31586.15014
288,2021-02-27 15:30:00.000,SC1455332/TR1,127627.2557,50136.74626
289,2021-02-27 15:30:00.000,SC1455333/TR1,191440.8835,75205.11939
290,2021-02-27 15:30:00.000,SC1455334/TR1,127627.2557,50136.74626
291,2021-02-27 15:30:00.000,SC1456856/TR1,191440.8835,75205.11939
292,2021-02-27 15:30:00.000,SC1487994/TR1,127627.2557,50136.74626
293,2021-02-27 15:30:00.000,SC2043368/TR1,80405.17108,31586.15014
294,2021-02-27 15:30:00.000,SC2121069/TR1,255254.5114,100273.4925
295,2021-02-27 15:30:00.000,SC2121070/TR1,255254.5114,100273.4925
296,2021-02-27 15:30:00.000,SC2198084/TR1,127627.2557,50136.74626
297,2021-02-27 15:30:00.000,SC741317/TR1,255254.5114,100273.4925
298,2021-02-27 15:30:00.000,SC767475-A/TR1,127627.2557,50136.74626
299,2021-02-27 15:30:00.000,SC775587/TR1,80405.17108,31586.15014
300,2021-02-27 15:30:00.000,SC776182/TR1,191440.8835,75205.11939
301,2021-02-27 15:30:00.000,SC780577/TR1,127627.2557,50136.74626
302,2021-02-27 15:30:00.000,SC791767/TR1,127627.2557,50136.74626
303,2021-02-27 15:30:00.000,SC804559/TR1,127627.2557,50136.74626
304,2021-02-27 15:30:00.000,SC807124/TR1,255254.5114,100273.4925
305,2021-02-27 15:30:00.000,SC842583/TR1,127627.2557,50136.74626
306,2021-02-27 15:30:00.000,SC858902/TR1,255254.5114,100273.4925
307,2021-02-27 15:30:00.000,SC865967/TR1,191440.8835,75205.11939
308,2021-02-27 15:30:00.000,SP15906-B/TR1,51050.90227,20054.6985
309,2021-02-27 15:30:00.000,SP472455/TR1,80405.17108,31586.15014
310,2021-02-27 15:30:00.000,SP98701/TR1,127627.2557,50136.74626
311,2021-02-27 15:40:00.000,SC1367081/TR1,125251.6394,56821.7431
312,2021-02-27 15:40:00.000,SC1367401/TR1,125251.6394,56821.7431
313,2021-02-27 15:40:00.000,SC1404931/TR1,250503.2788,113643.4862
314,2021-02-27 15:40:00.000,SC1424427/TR1,78908.53282,35797.69815
315,2021-02-27 15:40:00.000,SC1426808/TR1,125251.6394,56821.7431
316,2021-02-27 15:40:00.000,SC1426883/TR1,125251.6394,56821.7431
317,2021-02-27 15:40:00.000,SC1427057/TR1,78908.53282,35797.69815
318,2021-02-27 15:40:00.000,SC1454371/TR1,78908.53282,35797.69815
319,2021-02-27 15:40:00.000,SC1455332/TR1,125251.6394,56821.7431
320,2021-02-27 15:40:00.000,SC1455333/TR1,187877.4591,85232.61465
321,2021-02-27 15:40:00.000,SC1455334/TR1,125251.6394,56821.7431
322,2021-02-27 15:40:00.000,SC1456856/TR1,187877.4591,85232.61465
323,2021-02-27 15:40:00.000,SC1487994/TR1,125251.6394,56821.7431
324,2021-02-27 15:40:00.000,SC2043368/TR1,78908.53282,35797.69815
325,2021-02-27 15:40:00.000,SC2121069/TR1,250503.2788,113643.4862
326,2021-02-27 15:40:00.000,SC2121070/TR1,250503.2788,113643.4862
327,2021-02-27 15:40:00.000,SC2198084/TR1,125251.6394,56821.7431
328,2021-02-27 15:40:00.000,SC741317/TR1,250503.2788,113643.4862
329,2021-02-27 15:40:00.000,SC767475-A/TR1,125251.6394,56821.7431
330,2021-02-27 15:40:00.000,SC775587/TR1,78908.53282,35797.69815
331,2021-02-27 15:40:00.000,SC776182/TR1,187877.4591,85232.61465
332,2021-02-27 15:40:00.000,SC780577/TR1,125251.6394,56821.7431
333,2021-02-27 15:40:00.000,SC791767/TR1,125251.6394,56821.7431
334,2021-02-27 15:40:00.000,SC804559/TR1,125251.6394,56821.7431
335,2021-02-27 15:40:00.000,SC807124/TR1,250503.2788,113643.4862
336,2021-02-27 15:40:00.000,SC842583/TR1,125251.6394,56821.7431
337,2021-02-27 15:40:00.000,SC858902/TR1,250503.2788,113643.4862
338,2021-02-27 15:40:00.000,SC865967/TR1,187877.4591,85232.61465
339,2021-02-27 15:40:00.000,SP15906-B/TR1,50100.65576,22728.69724
340,2021-02-27 15:40:00.000,SP472455/TR1,78908.53282,35797.69815
341,2021-02-27 15:40:00.000,SP98701/TR1,125251.6394,56821.7431
342,2021-02-27 15:50:00.000,SC1367081/TR1,132304.3927,48533.03197
343,2021-02-27 15:50:00.000,SC1367401/TR1,132304.3927,48533.03197
344,2021-02-27 15:50:00.000,SC1404931/TR1,264608.7853,97066.06395
345,2021-02-27 15:50:00.000,SC1424427/TR1,83351.76738,30575.81014
346,2021-02-27 15:50:00.000,SC1426808/TR1,132304.3927,48533.03197
347,2021-02-27 15:50:00.000,SC1426883/TR1,132304.3927,48533.03197
348,2021-02-27 15:50:00.000,SC1427057/TR1,83351.76738,30575.81014
349,2021-02-27 15:50:00.000,SC1454371/TR1,83351.76738,30575.81014
350,2021-02-27 15:50:00.000,SC1455332/TR1,132304.3927,48533.03197
351,2021-02-27 15:50:00.000,SC1455333/TR1,198456.589,72799.54796
352,2021-02-27 15:50:00.000,SC1455334/TR1,132304.3927,48533.03197
353,2021-02-27 15:50:00.000,SC1456856/TR1,198456.589,72799.54796
354,2021-02-27 15:50:00.000,SC1487994/TR1,132304.3927,48533.03197
355,2021-02-27 15:50:00.000,SC2043368/TR1,83351.76738,30575.81014
356,2021-02-27 15:50:00.000,SC2121069/TR1,264608.7853,97066.06395
357,2021-02-27 15:50:00.000,SC2121070/TR1,264608.7853,97066.06395
358,2021-02-27 15:50:00.000,SC2198084/TR1,132304.3927,48533.03197
359,2021-02-27 15:50:00.000,SC741317/TR1,264608.7853,97066.06395
360,2021-02-27 15:50:00.000,SC767475-A/TR1,132304.3927,48533.03197
361,2021-02-27 15:50:00.000,SC775587/TR1,83351.76738,30575.81014
