ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
84,2021-02-27 14:00:00.000,6920342,8930,8998,103201817/2
85,2021-02-27 14:00:00.000,6920375,8930,7271,103211058/2
86,2021-02-27 14:00:00.000,6920036,8930,6327,103266619/1
87,2021-02-27 14:00:00.000,6920292,8930,9073,103266619/2
88,2021-02-27 14:00:00.000,6920022,8930,7077,103391736/1
89,2021-02-27 14:00:00.000,6920232,8930,7880,103391737/1
90,2021-02-27 14:00:00.000,6920359,8930,8612,103391737/2
91,2021-02-27 14:00:00.000,6920328,8930,8774,103391738/1
92,2021-02-27 14:00:00.000,6920026,8930,6736,103391738/2
93,2021-02-27 14:00:00.000,6920145,8930,8882,103391739/1
94,2021-02-27 14:00:00.000,6920382,8930,8986,103391867/1
95,2021-02-27 14:00:00.000,6920031,8930,6646,103391867/2
96,2021-02-27 14:00:00.000,6920367,8930,7987,103405047/1
97,2021-02-27 14:00:00.000,6920127,8930,7227,103405047/2
98,2021-02-27 14:00:00.000,6920080,8930,7653,103405049/1
99,2021-02-27 14:00:00.000,6920009,8930,7510,103405049/2
100,2021-02-27 14:00:00.000,6920174,8930,8967,103405051/1
101,2021-02-27 14:00:00.000,6920364,8930,7166,103405051/2
102,2021-02-27 14:00:00.000,6920274,8930,8946,103405052/1
103,2021-02-27 14:00:00.000,6920336,8930,8792,103405059/1
104,2021-02-27 14:00:00.000,6920201,8930,9080,103405059/2
105,2021-02-27 14:00:00.000,6920307,8930,7677,103533616/1
106,2021-02-27 14:00:00.000,6920203,8930,7396,103533616/2
107,2021-02-27 14:00:00.000,6920133,8930,8100,103533619/1
108,2021-02-27 14:00:00.000,6920341,8930,8040,103533619/2
109,2021-02-27 14:00:00.000,6920078,8930,7480,103533628/1
110,2021-02-27 14:00:00.000,6920256,8930,7598,103533628/2
111,2021-02-27 14:00:00.000,6920286,8930,6811,103533629/1
112,2021-02-27 14:00:00.000,6920322,8930,6861,103533630/1
113,2021-02-27 14:00:00.000,6920052,8930,6362,103533630/2
114,2021-02-27 14:00:00.000,6919993,8930,6233,103533633/1
115,2021-02-27 14:00:00.000,6920332,8930,8350,103533633/2
116,2021-02-27 14:00:00.000,6920354,8930,7438,103533635/1
117,2021-02-27 14:00:00.000,6920067,8930,7344,103533635/2
118,2021-02-27 14:00:00.000,6920159,8930,8622,103533641/1
119,2021-02-27 14:00:00.000,6920010,8930,7578,103533641/2
120,2021-02-27 14:00:00.000,6920325,8930,6843,103533642/1
121,2021-02-27 14:00:00.000,6920351,8930,9086,103533642/2
122,2021-02-27 14:00:00.000,6920149,8930,8786,103533646/1
123,2021-02-27 14:00:00.000,6920331,8930,6378,103533689/1
124,2021-02-27 14:00:00.000,6920310,8930,6877,103533689/2
125,2021-02-27 14:00:00.000,6920270,8930,8684,103533692/1
126,2021-02-27 14:00:00.000,6920234,8930,9003,103533697/1
127,2021-02-27 14:00:00.000,6920188,8930,7312,103533697/2
128,2021-02-27 14:00:00.000,6920069,8930,8762,103533698/1
129,2021-02-27 14:00:00.000,6919986,8930,6787,103533698/2
130,2021-02-27 14:00:00.000,6920317,8930,8662,103533701/1
131,2021-02-27 14:00:00.000,6920240,8930,8095,103533701/2
132,2021-02-27 14:00:00.000,6920380,8930,7314,103533727/1
133,2021-02-27 14:00:00.000,6920196,8930,8243,103533727/2
134,2021-02-27 14:00:00.000,6920251,8930,8021,103533728/1
135,2021-02-27 14:00:00.000,6920316,8930,8028,103533728/2
136,2021-02-27 14:00:00.000,6920014,8930,7682,103653414/1
137,2021-02-27 14:00:00.000,6919998,8930,7830,103653414/2
